frequency,time
49.993,14.10.2024 01:57:55
49.993,14.10.2024 01:57:56
49.993,14.10.2024 01:57:57
49.998,14.10.2024 01:57:58
49.998,14.10.2024 01:57:59
49.998,14.10.2024 01:58:00
49.998,14.10.2024 01:58:01
49.998,14.10.2024 01:58:02
49.998,14.10.2024 01:58:03
49.998,14.10.2024 01:58:04
49.998,14.10.2024 01:58:05
49.998,14.10.2024 01:58:06
49.998,14.10.2024 01:58:07
50.006,14.10.2024 01:58:08
50.006,14.10.2024 01:58:09
50.006,14.10.2024 01:58:10
50.006,14.10.2024 01:58:11
50.006,14.10.2024 01:58:12
50.006,14.10.2024 01:58:13
50.006,14.10.2024 01:58:14
50.006,14.10.2024 01:58:15
50.006,14.10.2024 01:58:16
50.006,14.10.2024 01:58:17
49.996,14.10.2024 01:58:18
49.996,14.10.2024 01:58:19
49.996,14.10.2024 01:58:20
49.996,14.10.2024 01:58:21
49.996,14.10.2024 01:58:22
49.996,14.10.2024 01:58:23
49.996,14.10.2024 01:58:24
49.996,14.10.2024 01:58:25
49.996,14.10.2024 01:58:26
49.996,14.10.2024 01:58:27
49.999,14.10.2024 01:58:28
49.999,14.10.2024 01:58:29
49.999,14.10.2024 01:58:30
49.999,14.10.2024 01:58:31
49.999,14.10.2024 01:58:32
49.999,14.10.2024 01:58:33
49.999,14.10.2024 01:58:34
49.999,14.10.2024 01:58:35
49.999,14.10.2024 01:58:36
49.999,14.10.2024 01:58:37
49.984,14.10.2024 01:58:38
49.984,14.10.2024 01:58:39
49.984,14.10.2024 01:58:40
49.984,14.10.2024 01:58:41
49.984,14.10.2024 01:58:42
49.984,14.10.2024 01:58:43
49.984,14.10.2024 01:58:44
49.984,14.10.2024 01:58:45
49.984,14.10.2024 01:58:46
49.984,14.10.2024 01:58:47
49.985,14.10.2024 01:58:48
49.985,14.10.2024 01:58:49
49.985,14.10.2024 01:58:50
49.985,14.10.2024 01:58:51
49.985,14.10.2024 01:58:52
49.985,14.10.2024 01:58:53
49.985,14.10.2024 01:58:54
49.985,14.10.2024 01:58:55
49.985,14.10.2024 01:58:56
49.985,14.10.2024 01:58:57
50.001,14.10.2024 01:58:58
50.001,14.10.2024 01:58:59
50.001,14.10.2024 01:59:00
50.001,14.10.2024 01:59:01
50.001,14.10.2024 01:59:02
50.001,14.10.2024 01:59:03
50.001,14.10.2024 01:59:04
50.001,14.10.2024 01:59:05
50.001,14.10.2024 01:59:06
50.001,14.10.2024 01:59:07
50.022,14.10.2024 01:59:08
50.022,14.10.2024 01:59:09
50.022,14.10.2024 01:59:10
50.022,14.10.2024 01:59:11
50.022,14.10.2024 01:59:12
50.022,14.10.2024 01:59:13
50.022,14.10.2024 01:59:14
50.022,14.10.2024 01:59:15
50.022,14.10.2024 01:59:16
50.022,14.10.2024 01:59:17
50.012,14.10.2024 01:59:18
50.012,14.10.2024 01:59:19
50.012,14.10.2024 01:59:20
50.012,14.10.2024 01:59:21
50.012,14.10.2024 01:59:22
50.012,14.10.2024 01:59:23
50.012,14.10.2024 01:59:24
50.012,14.10.2024 01:59:25
50.012,14.10.2024 01:59:26
50.012,14.10.2024 01:59:27
50.008,14.10.2024 01:59:28
50.008,14.10.2024 01:59:29
50.008,14.10.2024 01:59:30
50.008,14.10.2024 01:59:31
50.008,14.10.2024 01:59:32
50.008,14.10.2024 01:59:33
50.008,14.10.2024 01:59:34
50.008,14.10.2024 01:59:35
50.008,14.10.2024 01:59:36
50.008,14.10.2024 01:59:37
50.01,14.10.2024 01:59:38
50.01,14.10.2024 01:59:39
50.01,14.10.2024 01:59:40
50.01,14.10.2024 01:59:41
50.01,14.10.2024 01:59:42
50.01,14.10.2024 01:59:43
50.01,14.10.2024 01:59:44
50.01,14.10.2024 01:59:45
50.01,14.10.2024 01:59:46
50.01,14.10.2024 01:59:47
50.001,14.10.2024 01:59:48
50.001,14.10.2024 01:59:49
50.001,14.10.2024 01:59:50
50.001,14.10.2024 01:59:51
50.001,14.10.2024 01:59:52
50.001,14.10.2024 01:59:53
50.001,14.10.2024 01:59:54
50.001,14.10.2024 01:59:55
50.001,14.10.2024 01:59:56
50.001,14.10.2024 01:59:57
49.998,14.10.2024 01:59:58
49.998,14.10.2024 01:59:59
